depth	age	d18O	d13C	
167.9	7574.6	-9.86	-5.41	
167.94	7575.7	-10.02	-5.75	
168.03	7578	-10	-5.68	
168.12	7580.3	-10.04	-5.73	
168.21	7582.6	-9.93	-5.61	
168.3	7584.9	-10.03	-5.51	
168.39	7587.2	-9.75	-5.88	
168.48	7589.6	-10	-5.74	
168.57	7591.9	-9.58	-5.82	
168.66	7594.3	-9.97	-5.81	
168.75	7596.7	-9.99	-5.98	
168.84	7599.1	-10.12	-5.98	
168.93	7601.5	-9.84	-6.07	
169.02	7603.9	-10	-5.99	
169.2	7608.8	-10.01	-5.94	
169.29	7611.2	-9.93	-6.07	
169.38	7613.7	-10.13	-5.88	
169.46	7616.2	-10.04	-5.94	
169.55	7618.7	-10.04	-5.82	
169.64	7621.2	-9.96	-5.75	
169.73	7623.7	-10.06	-5.73	
169.91	7628.7	-9.95	-5.56	
170	7631.2	-9.86	-5.63	
170.09	7633.8	-10.11	-5.44	
170.18	7636.3	-10.02	-5.24	
170.27	7638.9	-9.91	-5.43	
170.36	7641.5	-9.73	-5.43	
170.45	7644	-9.9	-5.31	
170.63	7649.2	-9.67	-5.28	
170.72	7651.8	-9.35	-5.1	
170.81	7654.4	-9.36	-4.83	
170.89	7657	-9.74	-4.81	
170.98	7659.7	-9.83	-5.19	
171.07	7662.3	-9.63	-5.26	
171.16	7664.9	-9.84	-5.52	
171.25	7667.6	-9.63	-5.53	
171.34	7670.2	-9.79	-5.48	
171.43	7672.9	-9.8	-5.62	
171.52	7675.6	-9.92	-5.59	
171.61	7678.2	-9.89	-5.67	
171.7	7680.9	-10	-5.39	
171.79	7683.6	-10	-5.27	
171.88	7686.3	-10.12	-5.18	
171.97	7688.9	-9.78	-5.07	
172.06	7691.6	-10.11	-5.7	
172.15	7694.3	-9.8	-5.29	
172.24	7697	-10.32	-5.55	
172.33	7699.7	-9.59	-5.09	
172.41	7702.4	-9.82	-5.01	
172.5	7705.2	-9.82	-5.14	
172.59	7707.9	-10.11	-5.48	
172.68	7710.6	-9.71	-5.56	
172.77	7713.3	-10.32	-5.55	
172.86	7716	-9.74	-5.24	
172.95	7718.7	-9.78	-4.94	
173.04	7721.5	-9.53	-4.82	
173.13	7724.2	-9.76	-4.72	
173.22	7726.9	-9.45	-4.49	
173.31	7729.7	-9.83	-4.56	
173.4	7732.4	-9.7	-4.66	
173.49	7735.1	-9.71	-4.51	
173.58	7737.9	-9.46	-4.13	
173.67	7740.6	-9.73	-4.38	
173.76	7743.3	-9.5	-4.34	
173.85	7746.1	-9.65	-5.02	
173.93	7748.8	-9.65	-4.98	
174.02	7751.5	-9.86	-5.18	
174.11	7754.3	-9.76	-5.18	
174.2	7757	-10.27	-5.15	
174.29	7759.7	-10	-5.37	
174.38	7762.5	-10.14	-5.36	
174.47	7765.2	-9.79	-5.66	
174.56	7767.9	-10.23	-5.73	
174.65	7770.7	-9.89	-5.63	
174.74	7773.4	-10.16	-5.62	
174.83	7776.1	-9.9	-5.53	
174.92	7778.8	-10.05	-5.3	
175.01	7781.6	-9.82	-5.28	
175.05	7782.9	-10.12	-5.5	
175.1	7784.3	-10.14	-5.59	
175.14	7785.6	-9.9	-5.63	
175.19	7787	-9.83	-5.51	
175.23	7788.4	-10.08	-5.65	
175.28	7789.7	-10.27	-5.61	
175.32	7791.1	-10.03	-5.7	
175.36	7792.5	-10.02	-5.62	
175.41	7793.8	-10.41	-5.93	
175.45	7795.2	-10.52	-5.94	
175.5	7796.6	-10.18	-6.13	
175.54	7798	-10.1	-6.21	
175.59	7799.3	-10.3	-6.19	
175.63	7800.7	-10.13	-5.97	
175.68	7802.1	-9.9	-5.88	
175.72	7803.5	-9.85	-5.68	
175.77	7804.9	-10.19	-5.83	
175.81	7806.2	-10.21	-6	
175.86	7807.6	-9.96	-5.88	
175.9	7809	-9.95	-6.05	
175.95	7810.4	-10.06	-5.95	
175.99	7811.8	-10.07	-5.7	
176.04	7813.2	-9.61	-5.39	
176.08	7814.6	-9.7	-5.37	
176.12	7816	-9.84	-5.37	
176.17	7817.4	-9.78	-5.35	
176.21	7818.8	-9.51	-5.57	
176.26	7820.2	-9.7	-5.87	
176.3	7821.7	-10.13	-6.38	
176.35	7823.1	-9.9	-6.18	
176.39	7824.5	-9.82	-6.24	
176.44	7825.9	-9.83	-5.86	
176.48	7827.3	-10.05	-5.79	
176.53	7828.8	-9.99	-5.02	
176.57	7830.2	-9.81	-5.21	
176.62	7831.7	-9.86	-4.66	
176.66	7833.1	-10.12	-4.94	
176.71	7834.6	-10.15	-4.76	
176.75	7836	-9.98	-5.02	
176.8	7837.5	-9.89	-5.06	
176.84	7838.9	-10.15	-5.19	
176.88	7840.4	-10.05	-5.11	
176.93	7841.9	-9.83	-5.32	
176.97	7843.3	-9.74	-5.27	
177.02	7844.8	-9.94	-5.49	
177.06	7846.3	-9.99	-5.45	
177.11	7847.8	-9.78	-5.66	
177.15	7849.3	-9.98	-5.67	
177.2	7850.8	-10.28	-5.88	
177.24	7852.3	-10.17	-5.88	
177.29	7853.8	-9.96	-5.78	
177.33	7855.3	-9.92	-5.48	
177.38	7856.8	-9.94	-5.21	
177.42	7858.4	-10.01	-5.1	
177.47	7859.9	-9.83	-4.71	
177.51	7861.4	-9.69	-4.5	
177.56	7863	-9.94	-4.4	
177.6	7864.5	-9.89	-4.04	
177.64	7866.1	-9.74	-4	
177.69	7867.7	-9.61	-4.03	
177.73	7869.2	-9.83	-4.4	
177.78	7870.8	-9.8	-4.42	
177.82	7872.4	-9.59	-4.6	
177.87	7874	-9.58	-4.84	
177.91	7875.6	-9.8	-5.07	
177.96	7877.2	-9.68	-4.51	
178	7878.8	-9.65	-4.5	
178.05	7880.4	-9.76	-4.57	
178.09	7882	-9.91	-4.72	
178.14	7883.7	-9.73	-4.77	
178.18	7885.4	-9.85	-4.96	
178.23	7887.1	-9.72	-4.85	
178.27	7888.9	-9.91	-4.96	
178.32	7890.6	-9.84	-4.86	
178.36	7892.5	-9.75	-4.66	
178.4	7894.3	-9.67	-4.35	
178.45	7896.2	-9.93	-4.54	
178.49	7898.1	-9.71	-4.48	
178.54	7900	-9.89	-4.79	
178.58	7902	-9.95	-5.03	
178.63	7903.9	-10.12	-5.2	
178.67	7905.9	-10.05	-5.06	
178.72	7908	-9.99	-4.95	
178.76	7910	-9.99	-4.77	
178.81	7912.1	-10.14	-4.76	
178.85	7914.1	-10.06	-4.55	
178.9	7916.2	-9.95	-4.58	
178.94	7918.3	-9.9	-4.58	
178.99	7920.5	-10.23	-4.97	
179.03	7922.6	-10.23	-5.08	
179.07	7924.8	-10.17	-5.19	
179.12	7927	-10.15	-5.42	
179.16	7929.1	-10.27	-5.34	
179.21	7931.3	-10.14	-5.13	
179.25	7933.6	-9.97	-5.44	
179.3	7935.8	-9.91	-5.45	
179.34	7938	-9.99	-5.63	
179.39	7940.2	-10.02	-5.69	
179.43	7942.5	-9.72	-5.45	
179.48	7944.7	-9.71	-5.47	
179.52	7947	-10.17	-5.71	
179.57	7949.2	-10.25	-5.52	
179.61	7951.5	-10.13	-5.78	
179.66	7953.7	-10.15	-5.71	
179.7	7956	-10.37	-5.92	
179.75	7958.2	-10.21	-5.74	
179.79	7960.5	-10.05	-5.76	
179.83	7962.7	-9.95	-5.49	
179.88	7965	-9.87	-5.39	
179.92	7967.2	-10.11	-5.57	
179.97	7969.5	-10.06	-6.01	
180.01	7971.7	-10.01	-6.1	
180.1	7976.1	-10.05	-6.23	
180.15	7978.3	-9.74	-6.25	
180.19	7980.5	-9.91	-6.28	
180.24	7982.7	-10.2	-6.36	
180.28	7984.9	-10.06	-6.21	
180.33	7987	-9.79	-5.65	
180.37	7989.2	-9.92	-5.77	
180.42	7991.3	-10.05	-5.8	
180.46	7993.4	-9.92	-5.55	
180.51	7995.5	-9.77	-5.73	
180.55	7997.6	-9.79	-5.66	
180.59	7999.6	-9.77	-5.56	
180.64	8001.7	-9.84	-5.65	
180.68	8003.7	-9.76	-5.62	
180.73	8005.7	-9.72	-5.61	
180.77	8007.7	-9.75	-5.87	
180.82	8009.6	-9.92	-5.95	
180.86	8011.5	-9.72	-5.94	
180.91	8013.5	-9.82	-6.2	
180.95	8015.4	-10	-6.35	
181	8017.3	-10.11	-6.42	
181.04	8019.2	-10.06	-6.43	
181.09	8021.1	-10.04	-6.46	
181.13	8023	-9.99	-6.49	
181.18	8024.9	-10.11	-6.41	
181.22	8026.8	-9.9	-6.21	
181.27	8028.7	-9.8	-5.8	
181.31	8030.6	-10.03	-5.7	
181.35	8032.5	-10.06	-5.55	
181.4	8034.4	-10.01	-5.72	
181.44	8036.3	-9.96	-5.72	
181.49	8038.2	-9.95	-5.75	
181.53	8040.1	-9.86	-5.79	
181.58	8042	-9.81	-5.89	
181.62	8043.9	-9.8	-6.11	
181.67	8045.8	-9.64	-6.1	
181.71	8047.7	-9.79	-6.15	
181.76	8049.6	-9.76	-5.97	
181.8	8051.5	-9.78	-5.8	
181.85	8053.4	-9.76	-5.38	
181.89	8055.3	-9.72	-5.42	
181.94	8057.3	-9.49	-5.6	
181.98	8059.2	-9.29	-5.62	
182.03	8061.2	-9.57	-5.75	
182.07	8063.1	-9.78	-5.84	
182.11	8065.1	-9.71	-5.51	
182.16	8067	-9.67	-5.9	
182.2	8069	-9.66	-5.86	
182.25	8071	-9.68	-5.97	
182.29	8073	-9.56	-5.87	
182.34	8075	-9.59	-5.86	
182.38	8077	-9.73	-5.78	
182.43	8079	-9.88	-5.76	
182.47	8081.1	-9.81	-5.85	
182.52	8083.1	-9.82	-6.11	
182.56	8085.2	-9.78	-6.23	
182.61	8087.2	-9.7	-6.36	
182.65	8089.3	-9.59	-6.49	
182.7	8091.4	-9.6	-6.72	
182.74	8093.5	-9.5	-6.8	
182.79	8095.7	-9.6	-6.92	
182.83	8097.8	-9.52	-6.85	
182.87	8100	-9.46	-6.75	
182.92	8102.2	-9.55	-6.73	
182.96	8104.3	-9.59	-6.57	
183.01	8106.6	-9.66	-6.51	
183.05	8108.8	-9.7	-6.62	
183.1	8111	-9.67	-6.54	
183.14	8113.3	-9.67	-6.78	
183.19	8115.6	-9.48	-6.63	
183.23	8117.9	-9.28	-6.48	
183.28	8120.2	-9.11	-6.52	
183.32	8122.6	-9.07	-6.39	
183.37	8124.9	-9.07	-6.23	
183.41	8127.3	-8.95	-5.85	
183.46	8129.7	-9.09	-5.41	
183.5	8132.2	-9.02	-5.02	
183.54	8134.7	-9.06	-4.84	
183.59	8137.3	-9.1	-4.74	
183.63	8140	-9.1	-4.68	
183.68	8142.7	-9.09	-4.67	
183.72	8145.6	-9.25	-4.73	
183.77	8148.5	-9.2	-5.25	
183.81	8151.5	-9.37	-5.56	
183.86	8154.5	-9.25	-5.68	
183.9	8157.6	-9.24	-5.83	
183.95	8160.8	-9.23	-5.91	
183.99	8164	-9.24	-6.01	
184.04	8167.3	-9.24	-5.97	
184.08	8170.6	-9.22	-5.95	
184.13	8174	-9.16	-6.27	
184.17	8177.5	-9.17	-6.44	
184.22	8181	-9.21	-6.52	
184.26	8184.5	-9.16	-6.71	
184.3	8188.1	-9.34	-6.82	
