depth	age	Mg/Ca	Sr/Ca	
19.920	8967.664	34.177	0.335	
19.920	8967.547	26.179	0.253	
19.920	8967.430	40.601	0.352	
19.920	8967.314	40.150	0.352	
19.920	8967.197	40.507	0.420	
19.919	8967.080	75.646	0.414	
19.919	8966.964	69.329	0.435	
19.919	8966.847	38.350	0.420	
19.919	8966.731	50.650	0.463	
19.919	8966.614	40.853	0.366	
19.919	8966.498	65.965	0.375	
19.919	8966.382	43.748	0.405	
19.919	8966.265	49.448	0.422	
19.919	8966.149	36.713	0.409	
19.919	8966.033	47.776	0.452	
19.919	8965.917	48.003	0.409	
19.919	8965.801	45.181	0.372	
19.919	8965.686	44.465	0.416	
19.918	8965.570	45.367	0.547	
19.918	8965.454	53.490	0.466	
19.918	8965.339	33.234	0.391	
19.918	8965.223	46.334	0.343	
19.918	8965.107	43.128	0.382	
19.918	8964.992	41.482	0.417	
19.918	8964.877	50.466	0.444	
19.918	8964.761	44.532	0.456	
19.918	8964.646	42.453	0.369	
19.918	8964.531	45.635	0.358	
19.918	8964.416	46.567	0.371	
19.918	8964.301	42.645	0.376	
19.918	8964.186	36.764	0.405	
19.918	8964.071	41.300	0.351	
19.917	8963.956	44.317	0.355	
19.917	8963.842	43.901	0.394	
19.917	8963.727	37.829	0.337	
19.917	8963.613	42.170	0.370	
19.917	8963.498	41.313	0.347	
19.917	8963.384	44.309	0.403	
19.917	8963.269	39.814	0.349	
19.917	8963.155	47.068	0.476	
19.917	8963.041	47.157	0.434	
19.917	8962.927	38.718	0.315	
19.917	8962.812	45.272	0.314	
19.917	8962.698	48.189	0.453	
19.917	8962.584	38.738	0.393	
19.916	8962.471	50.125	0.493	
19.916	8962.357	35.551	0.376	
19.916	8962.243	47.608	0.444	
19.916	8962.129	49.275	0.386	
19.916	8962.016	56.395	0.335	
19.916	8961.902	41.363	0.395	
19.916	8961.789	35.116	0.336	
19.916	8961.675	35.395	0.301	
19.916	8961.562	53.560	0.408	
19.916	8961.449	30.812	0.407	
19.916	8961.336	41.114	0.372	
19.916	8961.222	46.945	0.468	
19.916	8961.109	37.236	0.394	
19.916	8960.996	37.765	0.351	
19.915	8960.883	36.156	0.362	
19.915	8960.771	51.098	0.398	
19.915	8960.658	53.018	0.313	
19.915	8960.545	46.623	0.391	
19.915	8960.432	35.422	0.402	
19.915	8960.320	45.567	0.379	
19.915	8960.207	38.305	0.405	
19.915	8960.095	39.547	0.387	
19.915	8959.982	39.723	0.356	
19.915	8959.870	41.747	0.342	
19.915	8959.758	43.356	0.388	
19.915	8959.646	51.787	0.361	
19.915	8959.534	40.269	0.351	
19.914	8959.422	38.960	0.364	
19.914	8959.310	47.520	0.372	
19.914	8959.198	41.996	0.409	
19.914	8959.086	47.386	0.415	
19.914	8958.974	50.890	0.387	
19.914	8958.862	49.264	0.429	
19.914	8958.751	37.412	0.375	
19.914	8958.639	40.183	0.334	
19.914	8958.528	42.937	0.348	
19.914	8958.416	42.487	0.363	
19.914	8958.305	40.779	0.346	
19.914	8958.194	38.397	0.347	
19.914	8958.083	39.958	0.385	
19.913	8957.971	41.370	0.356	
19.913	8957.860	53.285	0.317	
19.913	8957.749	38.205	0.348	
19.913	8957.638	45.171	0.396	
19.913	8957.527	41.738	0.401	
19.913	8957.417	40.417	0.361	
19.913	8957.306	39.530	0.330	
19.913	8957.195	46.275	0.430	
19.913	8957.085	42.431	0.326	
19.913	8956.974	43.786	0.402	
19.913	8956.864	42.677	0.392	
19.913	8956.753	46.907	0.403	
19.913	8956.643	44.768	0.332	
19.913	8956.533	46.896	0.454	
19.912	8956.422	44.463	0.362	
19.912	8956.312	42.654	0.364	
19.912	8956.202	42.678	0.398	
19.912	8956.092	45.110	0.370	
19.912	8955.982	43.390	0.363	
19.912	8955.872	40.203	0.350	
19.912	8955.762	43.756	0.355	
19.912	8955.653	43.389	0.418	
19.912	8955.543	35.526	0.331	
19.912	8955.433	40.832	0.388	
19.912	8955.324	42.940	0.350	
19.912	8955.214	42.058	0.435	
19.912	8955.105	41.572	0.353	
19.911	8954.996	35.260	0.330	
19.911	8954.886	41.626	0.350	
19.911	8954.777	42.055	0.339	
19.911	8954.668	44.182	0.407	
19.911	8954.559	41.122	0.365	
19.911	8954.450	41.462	0.350	
19.911	8954.341	46.630	0.409	
19.911	8954.232	34.976	0.348	
19.911	8954.123	42.727	0.397	
19.911	8954.015	48.898	0.439	
19.911	8953.906	37.638	0.380	
19.911	8953.797	35.267	0.347	
19.911	8953.689	38.002	0.355	
19.911	8953.580	44.441	0.389	
